txn_amount,txn_amount_log,txn_hour,txn_day_of_week,txn_is_weekend,txn_is_night,amount_vs_user_avg_ratio,amount_vs_user_max_ratio,amount_round_number_flag,amount_just_below_limit_flag,vel_txn_count_1m,vel_txn_count_5m,vel_txn_count_1h,vel_txn_count_24h,vel_amount_sum_1h,vel_amount_sum_24h,geo_distance_from_last_txn_km,time_since_last_txn_seconds,geo_speed_kmh,geo_is_impossible_travel,device_is_new,device_is_rooted,device_is_emulator,receiver_is_blacklisted,receiver_is_new,sender_graph_risk_score,is_fraud
247.31,5.514677965565414,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
42.14,3.76445064096101,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
99898.0,11.511914954576534,21,4,0,0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,1,0,0,1,0.05,1
2512.8,7.829550831490737,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1390.81,7.238360337325303,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
2371.48,7.771691100522313,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
196.12,5.283812680345155,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1489.16,7.306638775724747,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
2443.88,7.80175132094992,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
394.86,5.981060613392589,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
2948.08,7.989248536287269,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
963.49,6.871599464225679,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
181.6,5.207297968160868,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
182.25,5.2108513407667605,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
915.1,6.820125529021163,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
4588.98,8.431630945746623,21,4,0,0,1.8262416427889203,1.8262416427889203,0,0,1,1,1,1,2512.8,2512.8,3.1840565252328124,9.92,1155.5043841570691,1,0,0,0,0,1,0.05,0
851.43,6.748091094349393,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
3138.92,8.051952600870731,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
344.95,5.84629425594482,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
55.11,4.0273140497628805,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
480.14,6.1761582880469925,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
900.34,6.803882544917095,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
482.77,6.181609587158616,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1181.84,7.075673605465348,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
244.36,5.5027265198059965,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1277.84,7.153708696020865,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
578.74,6.362579727172735,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
153.92,5.0429088546465515,21,4,0,0,0.7848256169692025,0.7848256169692025,0,0,1,1,1,1,196.12,196.12,10.353749221058438,11.94,3121.733433484956,1,0,0,0,0,1,0.05,0
528.92,6.27272605175684,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
2753.94,7.9211509427654665,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1723.29,7.452570650534418,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
379.31,5.940986709618745,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
890.69,6.793118538543914,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
22.72,3.1663185741295248,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
469.58,6.15396597645263,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1053.07,6.960414140558257,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
2228.63,7.709590931405526,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
920.16,6.8256337453798155,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
103.34,4.647654797594247,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
403.03,6.001489132629946,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
18.94,2.9927277645336923,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
180.38,5.200594278019421,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
2940.47,7.9866647353743785,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1969.48,7.586032446875354,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
66.68,4.214790715297968,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1201.51,7.092166317953654,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1318.73,7.185182449203596,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
354.79,5.874340669159416,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
3503.77,8.161880176773487,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1310.8,7.179155518859635,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
511.57,6.239437287051485,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
182.11,5.210087065153623,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
104.28,4.656623467577007,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1085.39,6.990615552049255,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
408.46,6.014839218424433,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
243.24,5.498151348426623,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1141.14,7.040658974646135,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
414.66,6.029867618390927,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1779.31,7.484542785425879,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
428.99,6.063761952603234,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
82.34,4.422928625994308,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
497.69,6.211984660215478,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1317.99,7.184621571187438,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
70.07,4.263665306838804,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1552.69,7.348388025828289,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1851.25,7.5241563952967665,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
156.11,5.056946196959506,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
435.26,6.07823839589002,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1526.39,7.331315675359393,21,4,0,0,3.865648584308363,3.865648584308363,0,0,1,1,1,1,394.86,394.86,2.89322461034673,46.92,221.98654299335524,0,0,0,0,0,1,0.05,0
1961.21,7.5818266680367605,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
528.12,6.2712152492334825,21,4,0,0,12.53251067869008,12.53251067869008,0,0,1,1,1,1,42.14,42.14,5.596812091685599,57.87,348.168714879353,0,0,0,0,0,1,0.05,0
164.51,5.109031615952449,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
537.79,6.289325884601539,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1759.49,7.473347458374487,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1256.66,7.137008130460524,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
987.18,6.895864867388789,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1997.66,7.600232234991777,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
124.7,4.8338981155962015,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
2306.09,7.7437422691163285,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
2017.48,7.610100031896125,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
2442.94,7.801366770071965,21,4,0,0,1.3196164753544903,1.3196164753544903,0,0,1,1,1,1,1851.25,1851.25,4.15932114801993,10.15,1475.227205209039,1,0,0,0,0,1,0.05,0
473.02,6.161249514897758,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
368.02,5.910850843113736,21,4,0,0,0.27907153094264936,0.27907153094264936,0,0,1,1,1,1,1318.73,1318.73,11.405209907546388,34.86,1177.8185790925702,1,0,0,0,0,1,0.05,0
353.94,5.8719487611064185,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
185.12,5.226391626976448,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
304.81,5.72296399407213,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
29.57,3.420019135902743,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1834.5,7.515072202936889,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
459.61,6.132551697962893,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
792.64,6.67662995792627,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
2451.88,7.805018123371707,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1449.18,7.279442965641179,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
572.6,6.35193228928541,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
2048.41,7.625307225830633,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
888.47,6.790625779724312,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
127210.91,11.753609557580422,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,1,0,0,1,0.05,1
411.69,6.022696705788933,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
358.65,5.885131336313365,21,4,0,0,0.314290972185709,0.314290972185709,0,0,1,1,1,1,1141.14,1141.14,4.91549069486622,38.04,465.18839383591984,0,0,0,0,0,1,0.05,0
123.68,4.825750454899136,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
2554.42,7.845971872689952,21,4,0,0,0.02008019595174659,0.02008019595174659,0,0,1,1,1,1,127210.91,127210.91,1.229458104394289,5.85,756.5896027041779,0,1,0,0,0,1,0.05,0
263.98,5.579654351439977,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
561.09,6.331661979421028,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
32.61,3.5148236417370144,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1540.11,7.340258214991865,21,4,0,0,3.7705283259070654,3.7705283259070654,0,0,1,1,1,1,408.46,408.46,3.746712909909402,41.44,325.4866427527473,0,0,0,0,0,1,0.05,0
3233.48,8.081623452129014,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
1646.01,7.406716801804624,21,4,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,86400.0,0.0,0,1,0,0,0,1,0.05,0
