transaction_id,sender_vpa,receiver_vpa,amount,currency,transaction_type,timestamp,device_id,is_rooted,is_emulator,latitude,longitude,ip_address,org_id,is_fraud,fraud_type
TXN_20260612_000000,user_96@upi,user_220@upi,247.31,INR,P2P,2026-06-12T21:41:16.328158Z,d_1fa1a41090db,0,0,13.05607832844397,77.47846931615551,120.176.88.192,paytm_psp,0,LEGITIMATE
TXN_20260612_000001,user_167@upi,user_215@upi,42.14,INR,P2P,2026-06-12T21:41:16.738158Z,d_7580f5fa6fde,0,0,12.964098325746592,77.4898459464066,70.75.172.222,hdfc_bank,0,LEGITIMATE
TXN_20260612_000002,user_393@upi,user_223@upi,99898.0,INR,P2P,2026-06-12T21:41:19.988158Z,d_296fb3412661,1,0,12.951258942055972,77.40109018701122,120.91.137.68,hdfc_bank,1,NEW_DEVICE
TXN_20260612_000003,user_250@upi,user_120@upi,196.12,INR,P2P,2026-06-12T21:41:23.498158Z,d_8528d84ebaef,0,0,13.023285549125674,77.54754273411385,54.41.230.174,paytm_psp,0,LEGITIMATE
TXN_20260612_000004,user_75@upi,merchant_49@paytm,2948.08,INR,P2M,2026-06-12T21:41:26.568158Z,d_6c20c22b8b0a,0,0,13.016260041242589,77.52015834499821,138.248.112.186,paytm_psp,0,LEGITIMATE
TXN_20260612_000005,user_259@upi,user_33@upi,4588.98,INR,P2P,2026-06-12T21:41:30.028158Z,d_83b6a80f6939,0,0,12.921702348061638,77.37995018208068,129.191.68.180,paytm_psp,0,LEGITIMATE
TXN_20260612_000006,user_63@upi,user_245@upi,851.43,INR,P2P,2026-06-12T21:41:31.568158Z,d_ac47cba4937d,0,0,13.109621554881363,77.55229657987046,185.169.149.97,hdfc_bank,0,LEGITIMATE
TXN_20260612_000007,user_259@upi,user_35@upi,2512.8,INR,P2P,2026-06-12T21:41:20.108158Z,d_83b6a80f6939,0,0,12.89308840913442,77.37882611957495,163.189.76.178,paytm_psp,0,LEGITIMATE
TXN_20260612_000008,user_90@upi,user_85@upi,55.11,INR,P2P,2026-06-12T21:41:33.208158Z,d_da5c68647974,0,0,12.947631662453148,77.62155694917953,208.85.168.157,paytm_psp,0,LEGITIMATE
TXN_20260612_000009,user_323@upi,user_76@upi,1053.07,INR,P2P,2026-06-12T21:41:42.608158Z,d_70425f98cb8d,0,0,12.82939123569224,77.62228877984694,127.174.83.21,paytm_psp,0,LEGITIMATE
TXN_20260612_000010,user_383@upi,user_43@upi,963.49,INR,P2P,2026-06-12T21:41:27.928158Z,d_c5a8e75b5ea4,0,0,12.90178824195149,77.60243726780938,114.74.202.31,paytm_psp,0,LEGITIMATE
TXN_20260612_000011,user_434@upi,user_233@upi,469.58,INR,P2P,2026-06-12T21:41:42.508158Z,d_1bd101a4f4ce,0,0,12.965565142440648,77.57797175153237,85.106.99.24,paytm_psp,0,LEGITIMATE
TXN_20260612_000012,user_334@upi,user_384@upi,181.6,INR,P2P,2026-06-12T21:41:28.568158Z,d_169ffaaf7a0c,0,0,12.88083700583407,77.4722704862848,147.240.225.214,hdfc_bank,0,LEGITIMATE
TXN_20260612_000013,user_282@upi,user_110@upi,1390.81,INR,P2P,2026-06-12T21:41:20.748158Z,d_7e549bed1a87,0,0,12.9377234422544,77.6643812462084,144.200.215.21,paytm_psp,0,LEGITIMATE
